unicode,codepoint,latex,compose,description
𝒜,U1D49C,\mathcal{A},<Multi_key> <c> <A>,mathematical script capital A
ℬ,U212C,\mathcal{B},<Multi_key> <c> <B>,mathematical script capital B
𝒞,U1D49E,\mathcal{C},<Multi_key> <c> <C>,mathematical script capital C
𝒟,U1D49F,\mathcal{D},<Multi_key> <c> <D>,mathematical script capital D
ℰ,U2130,\mathcal{E},<Multi_key> <c> <E>,mathematical script capital E
ℱ,U2131,\mathcal{F},<Multi_key> <c> <F>,mathematical script capital F
𝒢,U1D4A2,\mathcal{G},<Multi_key> <c> <G>,mathematical script capital G
ℋ,U210B,\mathcal{H},<Multi_key> <c> <H>,mathematical script capital H
ℐ,U2110,\mathcal{I},<Multi_key> <c> <I>,mathematical script capital I
𝒥,U1D4A5,\mathcal{J},<Multi_key> <c> <J>,mathematical script capital J
𝒦,U1D4A6,\mathcal{K},<Multi_key> <c> <K>,mathematical script capital K
ℒ,U2112,\mathcal{L},<Multi_key> <c> <L>,mathematical script capital L
ℳ,U2133,\mathcal{M},<Multi_key> <c> <M>,mathematical script capital M
𝒩,U1D4A9,\mathcal{N},<Multi_key> <c> <N>,mathematical script capital N
𝒪,U1D4AA,\mathcal{O},<Multi_key> <c> <O>,mathematical script capital O
𝒫,U1D4AB,\mathcal{P},<Multi_key> <c> <P>,mathematical script capital P
𝒬,U1D4AC,\mathcal{Q},<Multi_key> <c> <Q>,mathematical script capital Q
ℛ,U211B,\mathcal{R},<Multi_key> <c> <R>,mathematical script capital R
𝒮,U1D4AE,\mathcal{S},<Multi_key> <c> <S>,mathematical script capital S
𝒯,U1D4AF,\mathcal{T},<Multi_key> <c> <T>,mathematical script capital T
𝒰,U1D4B0,\mathcal{U},<Multi_key> <c> <U>,mathematical script capital U
𝒱,U1D4B1,\mathcal{V},<Multi_key> <c> <V>,mathematical script capital V
𝒲,U1D4B2,\mathcal{W},<Multi_key> <c> <W>,mathematical script capital W
𝒳,U1D4B3,\mathcal{X},<Multi_key> <c> <X>,mathematical script capital X
𝒴,U1D4B4,\mathcal{Y},<Multi_key> <c> <Y>,mathematical script capital Y
𝒵,U1D4B5,\mathcal{Z},<Multi_key> <c> <Z>,mathematical script capital Z
𝒶,U1D4B6,\mathcal{a},<Multi_key> <c> <a>,mathematical script small a
𝒷,U1D4B7,\mathcal{b},<Multi_key> <c> <b>,mathematical script small b
𝒸,U1D4B8,\mathcal{c},<Multi_key> <c> <c>,mathematical script small c
𝒹,U1D4B9,\mathcal{d},<Multi_key> <c> <d>,mathematical script small d
ℯ,U212F,\mathcal{e},<Multi_key> <c> <e>,mathematical script small e
𝒻,U1D4BB,\mathcal{f},<Multi_key> <c> <f>,mathematical script small f
ℊ,U210A,\mathcal{g},<Multi_key> <c> <g>,mathematical script small g
𝒽,U1D4BD,\mathcal{h},<Multi_key> <c> <h>,mathematical script small h
𝒾,U1D4BE,\mathcal{i},<Multi_key> <c> <i>,mathematical script small i
𝒿,U1D4BF,\mathcal{j},<Multi_key> <c> <j>,mathematical script small j
𝓀,U1D4C0,\mathcal{k},<Multi_key> <c> <k>,mathematical script small k
𝓁,U1D4C1,\mathcal{l},<Multi_key> <c> <l>,mathematical script small l
𝓂,U1D4C2,\mathcal{m},<Multi_key> <c> <m>,mathematical script small m
𝓃,U1D4C3,\mathcal{n},<Multi_key> <c> <n>,mathematical script small n
ℴ,U2134,\mathcal{o},<Multi_key> <c> <o>,mathematical script small o
𝓅,U1D4C5,\mathcal{p},<Multi_key> <c> <p>,mathematical script small p
𝓆,U1D4C6,\mathcal{q},<Multi_key> <c> <q>,mathematical script small q
𝓇,U1D4C7,\mathcal{r},<Multi_key> <c> <r>,mathematical script small r
𝓈,U1D4C8,\mathcal{s},<Multi_key> <c> <s>,mathematical script small s
𝓉,U1D4C9,\mathcal{t},<Multi_key> <c> <t>,mathematical script small t
𝓊,U1D4CA,\mathcal{u},<Multi_key> <c> <u>,mathematical script small u
𝓋,U1D4CB,\mathcal{v},<Multi_key> <c> <v>,mathematical script small v
𝓌,U1D4CC,\mathcal{w},<Multi_key> <c> <w>,mathematical script small w
𝓍,U1D4CD,\mathcal{x},<Multi_key> <c> <x>,mathematical script small x
𝓎,U1D4CE,\mathcal{y},<Multi_key> <c> <y>,mathematical script small y
𝓏,U1D4CF,\mathcal{z},<Multi_key> <c> <z>,mathematical script small z
𝓐,U1D4D0,\mathcal{A},<Multi_key> <C> <A>,mathematical bold script capital A
𝓑,U1D4D1,\mathcal{B},<Multi_key> <C> <B>,mathematical bold script capital B
